data_dir,C',HH,SB,VV,N
2025-06-19--16h-57m-05s,0.0,40.0,0.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,36.0,4.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,37.0,3.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,40.0,0.0,0.0,40.0
2025-06-19--16h-57m-05s,1.0,39.0,0.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,38.0,2.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,38.0,2.0,0.0,40.0
2025-06-19--16h-57m-05s,1.0,37.0,2.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,38.0,2.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,38.0,2.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,40.0,0.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,38.0,2.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,38.0,2.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,38.0,2.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,40.0,0.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,37.0,3.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,40.0,0.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,38.0,2.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,40.0,0.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,38.0,2.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,38.0,2.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,38.0,2.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,0.0,1.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,40.0,0.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,38.0,2.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,37.0,3.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,40.0,0.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,38.0,2.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,40.0,0.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,37.0,3.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,38.0,2.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,38.0,2.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,40.0,0.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,40.0,0.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,38.0,2.0,0.0,40.0
2025-06-19--16h-57m-05s,1.0,38.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,38.0,2.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,40.0,0.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,40.0,0.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,38.0,2.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,40.0,0.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,40.0,0.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,40.0,0.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,40.0,0.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,40.0,0.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,38.0,2.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,37.0,3.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,38.0,2.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,38.0,2.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,40.0,0.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,38.0,2.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,40.0,0.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,37.0,3.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,40.0,0.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,38.0,2.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,40.0,0.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,40.0,0.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,37.0,3.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,37.0,3.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,40.0,0.0,0.0,40.0
2025-06-19--16h-57m-05s,1.0,39.0,0.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,37.0,3.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,38.0,2.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,38.0,2.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,40.0,0.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,40.0,0.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,37.0,3.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,37.0,3.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,38.0,2.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,38.0,2.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,38.0,2.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,38.0,2.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,40.0,0.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,40.0,0.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,37.0,3.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,38.0,2.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,38.0,2.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,40.0,0.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,40.0,0.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,38.0,2.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,40.0,0.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,38.0,2.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,38.0,2.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,40.0,0.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,40.0,0.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,40.0,0.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,38.0,2.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,40.0,0.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,40.0,0.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,38.0,2.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,38.0,2.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,40.0,0.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,40.0,0.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,40.0,0.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,38.0,2.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,37.0,3.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,40.0,0.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,40.0,0.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,40.0,0.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,40.0,0.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,40.0,0.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,40.0,0.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,38.0,2.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,40.0,0.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,40.0,0.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,40.0,0.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,38.0,2.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,36.0,3.0,1.0,40.0
2025-06-19--16h-57m-05s,0.0,40.0,0.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,36.0,4.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,38.0,2.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,40.0,0.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,38.0,2.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,38.0,2.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,37.0,3.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,38.0,1.0,1.0,40.0
2025-06-19--16h-57m-05s,0.0,40.0,0.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,40.0,0.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,40.0,0.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,38.0,2.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,40.0,0.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,40.0,0.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,40.0,0.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,40.0,0.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,40.0,0.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,38.0,2.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,37.0,3.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,40.0,0.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,38.0,2.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,33.0,7.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,38.0,2.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,38.0,2.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,37.0,3.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,40.0,0.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,40.0,0.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,1.0,37.0,2.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,37.0,3.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,38.0,2.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,38.0,2.0,0.0,40.0
2025-06-19--16h-57m-05s,1.0,37.0,2.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,37.0,3.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,38.0,2.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,37.0,3.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,38.0,2.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,38.0,2.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,40.0,0.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,37.0,3.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,35.0,5.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,38.0,2.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,40.0,0.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,37.0,3.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,38.0,2.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,38.0,2.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,40.0,0.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,37.0,3.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,40.0,0.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,37.0,3.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,40.0,0.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,40.0,0.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,40.0,0.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,37.0,3.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,40.0,0.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,40.0,0.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,38.0,2.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,40.0,0.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,40.0,0.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,38.0,2.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,38.0,2.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,38.0,2.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,1.0,37.0,2.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,37.0,3.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,38.0,2.0,0.0,40.0
2025-06-19--16h-57m-05s,1.0,35.0,4.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,37.0,3.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,38.0,2.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,38.0,2.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,40.0,0.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,40.0,0.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,40.0,0.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,40.0,0.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,40.0,0.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,40.0,0.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,40.0,0.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,40.0,0.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,37.0,3.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,40.0,0.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,38.0,2.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,38.0,2.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,38.0,2.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,38.0,2.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,38.0,2.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,38.0,2.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,37.0,3.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,38.0,2.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,37.0,3.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,40.0,0.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,40.0,0.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,40.0,0.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,38.0,2.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,40.0,0.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,38.0,2.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,38.0,2.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,37.0,3.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,40.0,0.0,0.0,40.0
2025-06-19--16h-57m-05s,1.0,38.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,38.0,2.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,38.0,2.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,37.0,3.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,40.0,0.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,38.0,2.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,38.0,2.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,37.0,3.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,38.0,2.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,40.0,0.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,40.0,0.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,40.0,0.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,40.0,0.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,38.0,2.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,40.0,0.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,36.0,4.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,40.0,0.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,38.0,2.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,1.0,38.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,38.0,2.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,38.0,2.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,37.0,3.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,36.0,4.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,34.0,6.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,37.0,3.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,40.0,0.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,37.0,3.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,40.0,0.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,40.0,0.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,40.0,0.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,40.0,0.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,40.0,0.0,0.0,40.0
2025-06-19--16h-57m-05s,1.0,38.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,40.0,0.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,40.0,0.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,38.0,2.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,38.0,2.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,36.0,4.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,38.0,2.0,0.0,40.0
2025-06-19--16h-57m-05s,1.0,38.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,40.0,0.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,40.0,0.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,40.0,0.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,37.0,3.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,40.0,0.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,0.0,39.0,1.0,0.0,40.0
2025-06-19--16h-57m-05s,1.0,36.0,3.0,0.0,40.0
